subject,version,character_1,act_1,event_1,image_1,position_1,character_2,act_2,event_2,image_2,position_2,coherence,lag,plot,response,correct_distance,rt,stimulus,condition,trial_index,error,abs_error
301,6,Beatrice,1,A,2,42,Beatrice,2,A,7,87,coherent,short,NA,90,44,4130.3,"[""<img src=\""jspsych/stimuli/beatrice1A2.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/beatrice2A7.png\"" width=\""480\"" height=\""270\"">""]",across,106,46,46
301,6,Charles,1,B,4,20,Charles,1,D,5,53,mainplot,mainplot,NA,12,32,7827.5,"[""<img src=\""jspsych/stimuli/charles1B4.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles1D5.png\"" width=\""480\"" height=\""270\"">""]",random,107,-20,20
301,6,Charles,1,E,2,66,Charles,2,C,2,106,mainplot,short,NA,75,39,8859.8,"[""<img src=\""jspsych/stimuli/charles1E2.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2C2.png\"" width=\""480\"" height=\""270\"">""]",across,108,36,36
301,6,Charles,2,C,3,107,Charles,2,C,5,109,mainplot,mainplot,NA,1,1,6581.5,"[""<img src=\""jspsych/stimuli/charles2C3.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2C5.png\"" width=\""480\"" height=\""270\"">""]",within,109,0,0
301,6,Johnny,1,A,5,29,Johnny,2,A,3,131,coherent,long,NA,7,101,8676.4,"[""<img src=\""jspsych/stimuli/johnny1A5.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/johnny2A3.png\"" width=\""480\"" height=\""270\"">""]",across,110,-94,94
301,6,Johnny,1,A,7,31,Johnny,2,A,2,130,coherent,long,NA,59,98,7799.4,"[""<img src=\""jspsych/stimuli/johnny1A7.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/johnny2A2.png\"" width=\""480\"" height=\""270\"">""]",across,111,-39,39
301,6,Beatrice,1,A,2,42,Beatrice,2,A,2,82,coherent,short,NA,83,39,4059,"[""<img src=\""jspsych/stimuli/beatrice1A2.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/beatrice2A2.png\"" width=\""480\"" height=\""270\"">""]",across,112,44,44
301,6,Sandra,1,A,3,59,Sandra,2,B,4,100,unrelated,short,NA,92,40,6418.8,"[""<img src=\""jspsych/stimuli/sandra1A3.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/sandra2B4.png\"" width=\""480\"" height=\""270\"">""]",across,113,52,52
301,6,Johnny,1,A,3,27,Johnny,2,A,7,135,coherent,long,NA,92,107,5186.9,"[""<img src=\""jspsych/stimuli/johnny1A3.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/johnny2A7.png\"" width=\""480\"" height=\""270\"">""]",across,114,-15,15
301,6,Charles,1,B,7,23,Charles,2,D,7,127,mainplot,long,NA,107,103,5234.1,"[""<img src=\""jspsych/stimuli/charles1B7.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2D7.png\"" width=\""480\"" height=\""270\"">""]",across,115,4,4
301,6,Charles,1,C,6,38,Charles,2,D,7,127,mainplot,mainplot,NA,132,88,5540.7,"[""<img src=\""jspsych/stimuli/charles1C6.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2D7.png\"" width=\""480\"" height=\""270\"">""]",random,116,44,44
